INDICADORES CALCULADOS — Análisis cuantitativo del mercado automotor,,,,,,,,,
Todos los valores calculados con fórmulas desde Hoja 1. Las celdas azules son datos base; las negras son fórmulas.,,,,,,,,,
,,,,,,,,,
INDICADORES DE VARIACIÓN INTERANUAL,,,,,,,,,
Indicador,Fuente,2022,2023,2024,2025,Var. 22→23,Var. 23→24,Var. 24→25,Acum. 22→25
Automóviles patentados,Hoja 1,900,"1,693","1,954","2,055",88.1%,15.4%,5.2%,128.3%
Motovehículos patentados,Hoja 1,"1,300","1,385","2,200","2,887",6.5%,58.8%,31.2%,122.1%
Total patentamientos,Hoja 1,"2,200","3,078","4,154","4,942",39.9%,35.0%,19.0%,124.6%
Salario real (ctes. 2004),Hoja 1,"1,234.4","1,128.9","1,171.2","1,428.1",-8.5%,3.7%,21.9%,15.7%
Índice salarial (2022=100),Hoja 1,100.0,91.5,94.9,115.7,-8.5%,3.7%,21.9%,15.7%
Desocupación (%),Hoja 1,90.0%,110.0%,120.0%,120.0%,0.2 pp,0.1 pp,0.0 pp,0.3 pp
Subocupación (%),Hoja 1,250.0%,140.0%,230.0%,200.0%,-1.1 pp,0.9 pp,-0.3 pp,-0.5 pp
Asalariados privados (k),Hoja 1,106.3,108.8,108.9,108.5,2.4%,0.1%,-0.4%,2.1%
Nuevas empresas (altas),Hoja 1,401,533,497,550,32.9%,-6.8%,10.7%,37.2%
Precio Gas Oil G2 ($/L),Hoja 1,141.49,282.16,"1,090.13","1,469.00",99.4%,286.4%,34.8%,938.2%
,,,,,,,,,
,,,,,,,,,
INDICADORES DERIVADOS Y RATIOS,,,,,,,,,
Indicador derivado,Fórmula,2022,2023,2024,2025,Var. 22→23,Var. 23→24,Var. 24→25,Tendencia
Ratio motos / autos,motos ÷ autos,1.44x,0.82x,1.13x,1.40x,-43.4%,37.6%,24.8%,↑ motos ganan terreno
Participación motos en total (%),motos ÷ total,59.1%,45.0%,53.0%,58.4%,-23.9%,17.7%,10.3%,↑ motos suman participación
Participación autos en total (%),autos ÷ total,40.9%,55.0%,47.0%,41.6%,34.5%,-14.5%,-11.6%,↓ autos pierden participación
Salarios equiv. para auto 0km,P.auto ÷ sal.mensual,29.2,20.1,15.4,14.9,-31.1%,-23.4%,-3.4%,↓ auto más inalcanzable
Salarios equiv. para moto 0km,P.moto ÷ sal.mensual,2.9,3.8,3.1,3.2,29.2%,-18.3%,3.5%,≈ moto se mantiene accesible
Cuota auto 60c (% del salario),P.auto ÷ 60 ÷ sal,48.6%,33.5%,25.6%,24.8%,-31.1%,-23.4%,-3.4%,≈ cuota alta pero estable
Cuota moto 24c (% del salario),P.moto ÷ 24 ÷ sal,12.1%,15.7%,12.8%,13.3%,29.2%,-18.3%,3.5%,✓ moto sigue accesible
